Sex_Encoded,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Volume,Density,Rings
2,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,0.01652176666492262,9.0789322378257,15
2,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,0.008741481558613599,8.007795878837502,7
0,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,0.03146933361100896,6.673163232364583,9
2,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,0.021022490840271697,7.373055894169997,10
1,0.33,0.255,0.08,0.205,0.0895,0.0395,0.055,0.007049733914655496,7.801712896661536,7
1,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,0.012684180338868789,9.460603428372726,8
0,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,0.03454966520785375,9.551467373553166,20
0,0.545,0.425,0.125,0.768,0.294,0.1495,0.26,0.030319641599488995,8.575299254341516,16
2,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,0.02300562120285025,7.172160166644731,9
0,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,0.0380132711084365,8.418112692463886,19
0,0.525,0.38,0.14,0.6065,0.194,0.1475,0.21,0.029248227604920976,7.179922244747157,14
2,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,0.017336355460059672,7.7871038299266235,10
2,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,0.02632340484442888,7.217911251333121,11
0,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,0.03290072176380081,6.230866346085827,10
0,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185,0.01747249114171523,10.58807233035684,10
2,0.5,0.4,0.13,0.6645,0.258,0.133,0.24,0.02722713633111154,8.814735309704973,12
1,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,0.008847772110060055,12.997622290615194,7
0,0.44,0.34,0.1,0.451,0.188,0.087,0.13,0.015666075365901103,8.298185535539998,10
2,0.365,0.295,0.08,0.2555,0.097,0.043,0.1,0.009020559706007491,11.085786609604972,7
2,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,0.015079644737231009,7.6261743564866515,9
2,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075,0.009888686475949472,7.584424906423055,11
1,0.38,0.275,0.1,0.2255,0.08,0.049,0.085,0.010943214410004447,7.76737042840829,10
0,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,0.0403516632402585,6.691174001735408,12
0,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,0.03226808354318417,6.198074940903798,9
0,0.615,0.48,0.165,1.1615,0.513,0.301,0.305,0.05100689832368387,5.97958335095197,10
0,0.56,0.44,0.14,0.9285,0.3825,0.188,0.3,0.03612412672607784,8.304699024971345,11
0,0.58,0.45,0.185,0.9955,0.3945,0.272,0.285,0.05056393375952772,5.636428553114653,11
2,0.59,0.445,0.14,0.931,0.356,0.234,0.28,0.03849184038933334,7.2742689663025875,12
2,0.605,0.475,0.18,0.9365,0.394,0.219,0.295,0.05416891132952199,5.445928167273787,15
2,0.575,0.425,0.14,0.8635,0.393,0.227,0.2,0.035827246220313594,5.582343637859684,11
2,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,0.047101898655271764,7.006087003311608,10
0,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,0.06579751653678463,6.991145322982415,15
